key,Pcp0:com.imo.android.imoimalpha
alias,PCP0
unit,(%)
begin date,2019-06-30
end date,2019-06-30
count,21

min,0.0%
max,1.9%
avg,0.17%

13:20:53.589,0.0%
13:20:54.655,0.23%
13:20:55.686,0.0%
13:20:56.745,0.0%
13:20:57.887,0.0%
13:20:59.047,0.0%
13:21:00.267,0.0%
13:21:01.481,1.9%
13:21:02.758,1.61%
13:21:03.985,0.0%
13:21:05.237,0.0%
13:21:06.424,0.0%
13:21:07.644,0.0%
13:21:08.853,0.0%
13:21:10.076,0.0%
13:21:11.273,0.0%
13:21:12.474,0.0%
13:21:13.671,0.0%
13:21:14.882,0.0%
13:21:16.167,0.0%
13:21:17.375,0.0%
